date,cases_active,recovered
2020-03-09,0,0
2020-03-10,0,0
2020-03-11,0,0
2020-03-12,18,0
2020-03-13,42,0
2020-03-14,63,0
2020-03-15,63,0
2020-03-16,97,0
2020-03-17,221,0
2020-03-18,379,0
2020-03-19,522,0
2020-03-20,696,0
2020-03-21,816,1
2020-03-22,837,1
2020-03-23,1079,1
2020-03-24,1273,1
2020-03-25,1438,4
2020-03-26,1701,5
2020-03-27,1878,19
2020-03-28,1979,44
2020-03-29,1996,64
2020-03-30,2166,64
2020-03-31,2247,95
2020-04-01,2331,198
2020-04-02,2314,342
2020-04-03,2297,476
2020-04-04,2204,638
2020-04-05,2118,758
2020-04-06,2176,774
2020-04-07,2038,994
2020-04-08,1931,1178
2020-04-09,1843,1336
2020-04-10,1655,1568
2020-04-11,1482,1748
2020-04-12,1378,1867
2020-04-13,1341,1904
2020-04-14,1246,2069
2020-04-15,1181,2184
2020-04-16,1042,2367
2020-04-17,973,2488
2020-04-18,873,2605
2020-04-19,809,2676
2020-04-20,792,2722
2020-04-21,755,2803
2020-04-22,692,2884
2020-04-23,631,2962
2020-04-24,583,3027
2020-04-25,541,3085
2020-04-26,534,3101
2020-04-27,530,3121
2020-04-28,546,3134
2020-04-29,481,3213
